schedule_Date;schedule_Time;schedule_Round;schedule_Day;schedule_Venue;schedule_Result;schedule_GF;schedule_GA;schedule_Opponent;schedule_xG;schedule_xGA;schedule_Poss;schedule_Attendance;schedule_Captain;schedule_Formation;schedule_Referee;schedule_Match Report;schedule_Notes;schedule_fbref_season;schedule_fbref_league_id;schedule_fbref_squad_id;schedule_fbref_opponent_id;schedule_fbref_match_id;shooting_standard_Gls;shooting_standard_Sh;shooting_standard_SoT;shooting_standard_SoT%;shooting_standard_G/Sh;shooting_standard_G/SoT;shooting_standard_Dist;shooting_standard_FK;shooting_standard_PK;shooting_standard_PKatt;shooting_expected_xG;shooting_expected_npxG;shooting_expected_npxG/Sh;shooting_expected_G-xG;shooting_expected_np:G-xG;keeper_performance_SoTA;keeper_performance_GA;keeper_performance_Saves;keeper_performance_Save%;keeper_performance_CS;keeper_performance_PSxG;keeper_performance_PSxG+/-;keeper_penaltykicks_PKatt;keeper_penaltykicks_PKA;keeper_penaltykicks_PKsv;keeper_penaltykicks_PKm;keeper_launched_Cmp;keeper_launched_Att;keeper_launched_Cmp%;keeper_passes_Att;keeper_passes_Thr;keeper_passes_Launch%;keeper_passes_AvgLen;keeper_goalkicks_Att;keeper_goalkicks_Launch%;keeper_goalkicks_AvgLen;keeper_crosses_Opp;keeper_crosses_Stp;keeper_crosses_Stp%;keeper_sweeper_#OPA;keeper_sweeper_AvgDist;passing_total_Cmp;passing_total_Att;passing_total_Cmp%;passing_total_TotDist;passing_total_PrgDist;passing_short_Cmp;passing_short_Att;passing_short_Cmp%;passing_medium_Cmp;passing_medium_Att;passing_medium_Cmp%;passing_long_Cmp;passing_long_Att;passing_long_Cmp%;passing_attacking_Ast;passing_attacking_xAG;passing_attacking_xA;passing_attacking_KP;passing_attacking_1/3;passing_attacking_PPA;passing_attacking_CrsPA;passing_attacking_PrgP;passing_types_general_Att;passing_types_passtypes_Live;passing_types_passtypes_Dead;passing_types_passtypes_FK;passing_types_passtypes_TB;passing_types_passtypes_Sw;passing_types_passtypes_Crs;passing_types_passtypes_TI;passing_types_passtypes_CK;passing_types_cornerkicks_In;passing_types_cornerkicks_Out;passing_types_cornerkicks_Str;passing_types_outcomes_Cmp;passing_types_outcomes_Off;passing_types_outcomes_Blocks;gca_scatypes_SCA;gca_scatypes_PassLive;gca_scatypes_PassDead;gca_scatypes_TO;gca_scatypes_Sh;gca_scatypes_Fld;gca_scatypes_Def;gca_gcatypes_GCA;gca_gcatypes_PassLive;gca_gcatypes_PassDead;gca_gcatypes_TO;gca_gcatypes_Sh;gca_gcatypes_Fld;gca_gcatypes_Def;defense_tackles_Tkl;defense_tackles_TklW;defense_tackles_Def3rd;defense_tackles_Mid3rd;defense_tackles_Att3rd;defense_challenges_Tkl;defense_challenges_Att;defense_challenges_Tkl%;defense_challenges_Lost;defense_blocks_Blocks;defense_blocks_Sh;defense_blocks_Pass;defense_general_Int;defense_general_Tkl+Int;defense_general_Clr;defense_general_Err;possession_general_Poss;possession_touches_Touches;possession_touches_DefPen;possession_touches_Def3rd;possession_touches_Mid3rd;possession_touches_Att3rd;possession_touches_AttPen;possession_touches_Live;possession_take-ons_Att;possession_take-ons_Succ;possession_take-ons_Succ%;possession_take-ons_Tkld;possession_take-ons_Tkld%;possession_carries_Carries;possession_carries_TotDist;possession_carries_PrgDist;possession_carries_PrgC;possession_carries_1/3;possession_carries_CPA;possession_carries_Mis;possession_carries_Dis;possession_receiving_Rec;possession_receiving_PrgR;misc_performance_CrdY;misc_performance_CrdR;misc_performance_2CrdY;misc_performance_Fls;misc_performance_Fld;misc_performance_Off;misc_performance_Crs;misc_performance_Int;misc_performance_TklW;misc_performance_PKwon;misc_performance_PKcon;misc_performance_OG;misc_performance_Recov;misc_aerialduels_Won;misc_aerialduels_Lost;misc_aerialduels_Won%
2017-08-18;20:30;Matchweek 1;Fri;Home;W;3.0;1.0;Leverkusen;2.6;1.6;52.0;75000.0;Thomas Müller;4-3-3;Tobias Stieler;Match Report;;2017-2018;20;054efa67;c7a9f859;b13970b2;3.0;12.0;7.0;58.3;0.17;0.29;16.9;0.0;1.0;1.0;2.6;1.8;0.15;0.4;0.2;4.0;1.0;3.0;75.0;0.0;0.9;-0.1;0.0;0.0;0.0;0.0;7.0;11.0;63.6;23.0;5.0;17.4;26.9;14.0;50.0;43.8;8.0;1.0;12.5;0.0;8.3;459.0;547.0;83.9;9407.0;3624.0;162.0;191.0;84.8;222.0;246.0;90.2;70.0;91.0;76.9;2.0;1.7;2.0;10.0;44.0;14.0;2.0;57.0;547.0;483.0;59.0;17.0;0.0;8.0;14.0;22.0;4.0;0.0;4.0;0.0;459.0;5.0;10.0;24.0;19.0;2.0;0.0;0.0;3.0;0.0;6.0;3.0;1.0;0.0;0.0;2.0;0.0;19.0;15.0;11.0;6.0;2.0;9.0;16.0;56.3;7.0;13.0;5.0;8.0;10.0;29.0;14.0;0.0;52.0;632.0;79.0;248.0;252.0;133.0;24.0;631.0;14.0;9.0;64.3;5.0;35.7;351.0;1652.0;963.0;21.0;11.0;5.0;8.0;13.0;456.0;57.0;1.0;0.0;0.0;13.0;16.0;5.0;14.0;10.0;15.0;1.0;0.0;0.0;30.0;15.0;6.0;71.4
2017-08-26;15:30;Matchweek 2;Sat;Away;W;2.0;0.0;Werder Bremen;1.5;0.3;71.0;42100.0;Manuel Neuer;4-2-3-1;Bastian Dankert;Match Report;;2017-2018;20;054efa67;62add3bf;9b3e6ab4;2.0;19.0;8.0;42.1;0.11;0.25;19.8;0.0;0.0;0.0;1.5;1.5;0.08;0.5;0.5;0.0;0.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;10.0;20.0;22.0;3.0;36.4;34.5;6.0;33.3;41.3;6.0;1.0;16.7;0.0;11.5;672.0;778.0;86.4;12821.0;3756.0;271.0;304.0;89.1;307.0;342.0;89.8;87.0;117.0;74.4;2.0;1.2;2.6;14.0;60.0;10.0;1.0;78.0;778.0;730.0;48.0;9.0;1.0;14.0;31.0;24.0;8.0;4.0;4.0;0.0;672.0;0.0;13.0;32.0;27.0;2.0;1.0;0.0;0.0;2.0;4.0;3.0;0.0;1.0;0.0;0.0;0.0;16.0;13.0;9.0;5.0;2.0;6.0;10.0;60.0;4.0;14.0;4.0;10.0;12.0;28.0;9.0;0.0;71.0;874.0;45.0;157.0;381.0;342.0;42.0;874.0;17.0;7.0;41.2;10.0;58.8;528.0;2790.0;1505.0;39.0;27.0;13.0;9.0;8.0;668.0;78.0;1.0;0.0;0.0;10.0;9.0;0.0;31.0;12.0;13.0;0.0;0.0;0.0;46.0;15.0;23.0;39.5
2017-09-09;18:30;Matchweek 3;Sat;Away;L;0.0;2.0;Hoffenheim;1.9;0.6;71.0;30150.0;Manuel Neuer;4-2-3-1;Daniel Siebert;Match Report;;2017-2018;20;054efa67;033ea6b8;fe417870;0.0;23.0;6.0;26.1;0.0;0.0;16.6;1.0;0.0;0.0;1.9;1.9;0.08;-1.9;-1.9;3.0;2.0;1.0;33.3;0.0;1.2;-0.8;0.0;0.0;0.0;0.0;3.0;5.0;60.0;26.0;5.0;15.4;27.8;5.0;20.0;27.8;1.0;0.0;0.0;3.0;18.4;615.0;733.0;83.9;12565.0;4254.0;218.0;244.0;89.3;296.0;340.0;87.1;95.0;129.0;73.6;0.0;1.5;1.8;19.0;80.0;15.0;5.0;103.0;733.0;676.0;54.0;16.0;0.0;17.0;44.0;26.0;4.0;2.0;2.0;0.0;615.0;3.0;12.0;44.0;29.0;5.0;2.0;2.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.0;12.0;8.0;6.0;4.0;7.0;10.0;70.0;3.0;9.0;1.0;8.0;15.0;33.0;3.0;0.0;71.0;821.0;28.0;167.0;394.0;268.0;31.0;821.0;17.0;8.0;47.1;9.0;52.9;399.0;2053.0;1286.0;25.0;20.0;5.0;10.0;8.0;612.0;103.0;1.0;0.0;0.0;9.0;15.0;3.0;44.0;15.0;12.0;0.0;0.0;0.0;45.0;12.0;11.0;52.2
2017-09-16;15:30;Matchweek 4;Sat;Home;W;4.0;0.0;Mainz 05;3.8;0.8;74.0;75000.0;Manuel Neuer;4-2-3-1;Sascha Stegemann;Match Report;;2017-2018;20;054efa67;a224b06a;a10cf572;4.0;28.0;13.0;46.4;0.14;0.31;15.6;0.0;0.0;0.0;3.8;3.8;0.15;0.2;0.2;4.0;0.0;4.0;100.0;1.0;1.4;1.4;0.0;0.0;0.0;0.0;7.0;8.0;87.5;30.0;3.0;26.7;33.2;6.0;0.0;25.2;8.0;0.0;0.0;1.0;13.2;696.0;786.0;88.5;14453.0;4586.0;212.0;238.0;89.1;361.0;384.0;94.0;114.0;142.0;80.3;4.0;3.2;4.0;23.0;69.0;22.0;3.0;69.0;786.0;743.0;43.0;6.0;1.0;11.0;25.0;20.0;10.0;1.0;8.0;0.0;696.0;0.0;15.0;50.0;40.0;4.0;1.0;4.0;1.0;0.0;8.0;8.0;0.0;0.0;0.0;0.0;0.0;19.0;15.0;7.0;7.0;5.0;9.0;20.0;45.0;11.0;7.0;2.0;5.0;17.0;36.0;8.0;1.0;74.0;890.0;54.0;225.0;436.0;236.0;60.0;890.0;22.0;9.0;40.9;13.0;59.1;536.0;2589.0;1550.0;30.0;22.0;13.0;12.0;9.0;693.0;68.0;2.0;0.0;0.0;10.0;5.0;0.0;25.0;17.0;15.0;0.0;0.0;0.0;53.0;20.0;12.0;62.5
2017-09-19;20:30;Matchweek 5;Tue;Away;W;3.0;0.0;Schalke 04;2.3;1.2;66.0;62271.0;Thomas Müller;4-2-3-1;Marco Fritz;Match Report;;2017-2018;20;054efa67;c539e393;17ceb358;3.0;12.0;7.0;58.3;0.17;0.29;16.6;0.0;1.0;1.0;2.3;1.5;0.13;0.7;0.5;3.0;0.0;3.0;100.0;1.0;0.6;0.6;0.0;0.0;0.0;0.0;2.0;11.0;18.2;32.0;4.0;28.1;30.3;5.0;40.0;45.6;8.0;2.0;25.0;1.0;11.0;654.0;762.0;85.8;12854.0;4055.0;222.0;242.0;91.7;339.0;378.0;89.7;86.0;123.0;69.9;2.0;1.5;2.1;12.0;58.0;15.0;3.0;55.0;762.0;721.0;41.0;15.0;2.0;6.0;21.0;14.0;6.0;0.0;4.0;1.0;654.0;0.0;9.0;24.0;22.0;2.0;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;22.0;21.0;8.0;10.0;4.0;13.0;22.0;59.1;9.0;9.0;4.0;5.0;12.0;34.0;9.0;0.0;66.0;857.0;71.0;209.0;442.0;216.0;34.0;856.0;16.0;10.0;62.5;6.0;37.5;532.0;2140.0;1154.0;27.0;22.0;6.0;16.0;4.0;650.0;55.0;1.0;0.0;0.0;11.0;12.0;0.0;21.0;12.0;21.0;0.0;0.0;0.0;57.0;8.0;14.0;36.4
2017-09-22;20:30;Matchweek 6;Fri;Home;D;2.0;2.0;Wolfsburg;2.4;0.8;59.0;75000.0;Thomas Müller;4-2-3-1;Christian Dingert;Match Report;;2017-2018;20;054efa67;4eaa11d7;8869577c;2.0;18.0;2.0;11.1;0.06;0.5;18.3;2.0;1.0;1.0;2.4;1.6;0.09;-0.4;-0.6;3.0;2.0;1.0;33.3;0.0;0.3;-1.7;0.0;0.0;0.0;0.0;3.0;5.0;60.0;17.0;2.0;29.4;31.1;5.0;0.0;22.2;7.0;0.0;0.0;0.0;8.5;535.0;642.0;83.3;10538.0;3385.0;190.0;213.0;89.2;258.0;294.0;87.8;82.0;117.0;70.1;1.0;1.3;1.4;14.0;60.0;11.0;4.0;58.0;642.0;597.0;41.0;7.0;0.0;10.0;17.0;19.0;7.0;5.0;2.0;0.0;535.0;4.0;4.0;33.0;24.0;3.0;0.0;3.0;3.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;13.0;12.0;3.0;9.0;1.0;8.0;15.0;53.3;7.0;7.0;2.0;5.0;6.0;19.0;5.0;1.0;59.0;705.0;33.0;130.0;410.0;172.0;27.0;704.0;11.0;6.0;54.5;5.0;45.5;427.0;2132.0;1363.0;20.0;16.0;3.0;6.0;8.0;530.0;57.0;1.0;0.0;0.0;9.0;11.0;4.0;17.0;6.0;12.0;1.0;0.0;0.0;51.0;13.0;17.0;43.3
2017-10-01;15:30;Matchweek 7;Sun;Away;D;2.0;2.0;Hertha BSC;1.3;1.4;67.0;71212.0;Thomas Müller;4-2-3-1;Harm Osmers;Match Report;;2017-2018;20;054efa67;2818f8bc;11ff6012;2.0;17.0;4.0;23.5;0.12;0.5;16.7;0.0;0.0;0.0;1.3;1.3;0.08;0.7;0.7;5.0;2.0;3.0;60.0;0.0;1.2;-0.8;0.0;0.0;0.0;0.0;6.0;11.0;54.5;20.0;5.0;30.0;31.3;8.0;62.5;46.1;4.0;0.0;0.0;1.0;17.3;572.0;683.0;83.7;10019.0;3617.0;241.0;263.0;91.6;227.0;261.0;87.0;71.0;106.0;67.0;2.0;1.3;1.5;16.0;41.0;15.0;3.0;66.0;683.0;624.0;57.0;15.0;0.0;4.0;29.0;22.0;9.0;4.0;3.0;0.0;572.0;2.0;15.0;32.0;25.0;5.0;0.0;1.0;0.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;15.0;8.0;6.0;7.0;2.0;3.0;6.0;50.0;3.0;4.0;0.0;4.0;8.0;23.0;11.0;0.0;67.0;770.0;43.0;159.0;435.0;184.0;27.0;770.0;16.0;5.0;31.3;11.0;68.8;457.0;2340.0;1357.0;22.0;29.0;5.0;13.0;8.0;567.0;66.0;2.0;0.0;0.0;12.0;14.0;2.0;29.0;8.0;8.0;0.0;0.0;0.0;53.0;19.0;13.0;59.4
2017-10-14;15:30;Matchweek 8;Sat;Home;W;5.0;0.0;Freiburg;1.6;0.6;68.0;75000.0;Thomas Müller;4-2-3-1;Frank Willenborg;Match Report;;2017-2018;20;054efa67;a486e511;095914c6;4.0;24.0;10.0;41.7;0.17;0.4;17.0;0.0;0.0;0.0;1.6;1.6;0.07;2.4;2.4;2.0;0.0;2.0;100.0;1.0;0.5;0.5;0.0;0.0;0.0;0.0;2.0;3.0;66.7;27.0;5.0;3.7;24.0;3.0;66.7;47.7;4.0;0.0;0.0;3.0;24.0;687.0;779.0;88.2;13782.0;4577.0;229.0;251.0;91.2;357.0;389.0;91.8;94.0;126.0;74.6;3.0;1.4;2.3;21.0;69.0;18.0;3.0;83.0;779.0;740.0;37.0;7.0;0.0;8.0;30.0;17.0;9.0;2.0;5.0;0.0;687.0;2.0;4.0;41.0;34.0;3.0;1.0;2.0;0.0;1.0;7.0;5.0;0.0;0.0;1.0;0.0;1.0;13.0;9.0;5.0;3.0;5.0;7.0;10.0;70.0;3.0;10.0;2.0;8.0;6.0;19.0;5.0;1.0;68.0;860.0;34.0;173.0;428.0;269.0;40.0;860.0;20.0;12.0;60.0;8.0;40.0;502.0;2356.0;1261.0;34.0;22.0;11.0;15.0;10.0;682.0;81.0;0.0;0.0;0.0;5.0;7.0;2.0;30.0;6.0;9.0;0.0;0.0;0.0;54.0;14.0;9.0;60.9
2017-10-21;18:30;Matchweek 9;Sat;Away;W;1.0;0.0;Hamburger SV;2.3;0.2;75.0;57000.0;Arjen Robben;4-2-3-1;Marco Fritz;Match Report;;2017-2018;20;054efa67;26790c6a;f2074595;1.0;21.0;4.0;19.0;0.05;0.25;18.1;0.0;0.0;0.0;2.3;2.3;0.11;-1.3;-1.3;3.0;0.0;3.0;100.0;1.0;0.2;0.2;0.0;0.0;0.0;0.0;6.0;14.0;42.9;27.0;4.0;51.9;38.2;1.0;0.0;27.0;14.0;2.0;14.3;4.0;18.7;660.0;777.0;84.9;12140.0;3437.0;270.0;296.0;91.2;314.0;353.0;89.0;69.0;102.0;67.6;1.0;2.3;2.7;21.0;67.0;13.0;1.0;66.0;777.0;728.0;46.0;10.0;2.0;3.0;23.0;27.0;7.0;2.0;3.0;0.0;660.0;3.0;16.0;42.0;37.0;3.0;0.0;1.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;16.0;10.0;6.0;6.0;4.0;10.0;16.0;62.5;6.0;10.0;3.0;7.0;9.0;25.0;19.0;0.0;75.0;883.0;49.0;172.0;441.0;276.0;38.0;883.0;26.0;12.0;46.2;14.0;53.8;540.0;2566.0;1582.0;34.0;31.0;14.0;12.0;7.0;658.0;66.0;2.0;0.0;0.0;9.0;9.0;3.0;23.0;9.0;10.0;0.0;0.0;0.0;48.0;24.0;12.0;66.7
2017-10-28;18:30;Matchweek 10;Sat;Home;W;2.0;0.0;RB Leipzig;2.2;0.3;71.0;75000.0;Arjen Robben;4-3-3;Daniel Siebert;Match Report;;2017-2018;20;054efa67;acbb6a5b;c5ad9910;2.0;23.0;7.0;30.4;0.09;0.29;18.3;2.0;0.0;0.0;2.2;2.2;0.1;-0.2;-0.2;1.0;0.0;1.0;100.0;1.0;0.1;0.1;0.0;0.0;0.0;0.0;3.0;4.0;75.0;22.0;3.0;18.2;23.6;4.0;0.0;22.5;4.0;0.0;0.0;2.0;18.8;710.0;795.0;89.3;13614.0;3941.0;263.0;281.0;93.6;363.0;391.0;92.8;74.0;97.0;76.3;2.0;2.0;1.9;19.0;76.0;14.0;3.0;84.0;795.0;757.0;33.0;7.0;2.0;14.0;27.0;10.0;11.0;3.0;7.0;0.0;710.0;5.0;8.0;44.0;32.0;5.0;0.0;4.0;2.0;1.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;21.0;17.0;3.0;10.0;8.0;10.0;18.0;55.6;8.0;5.0;0.0;5.0;9.0;30.0;3.0;0.0;71.0;895.0;36.0;135.0;497.0;265.0;29.0;895.0;20.0;3.0;15.0;17.0;85.0;576.0;2367.0;1404.0;15.0;15.0;3.0;11.0;1.0;707.0;84.0;1.0;0.0;0.0;7.0;9.0;5.0;27.0;9.0;17.0;0.0;0.0;0.0;52.0;14.0;8.0;63.6
