squad_name;n_players;pct_estimated;squad_id;season_str;weekly_wages_eur;weekly_wages_gbp;weekly_wages_usd;annual_wages_eur;annual_wages_gbp;annual_wages_usd
Manchester Utd;35;100%;19538871;2017-2018;3810955;3195596;3883356;198169670;166171000;201934520
Arsenal;45;100%;18bb7c10;2017-2018;3629433;3043385;3698385;188730521;158256000;192316043
Manchester City;32;100%;b8fd03ef;2017-2018;3474446;2913423;3540453;180671167;151498000;184103578
Chelsea;45;100%;cff3d9bb;2017-2018;2790189;2339654;2843197;145089806;121662000;147846240
Liverpool;34;100%;822bd0ba;2017-2018;2194158;1839865;2235843;114096241;95673000;116263857
Everton;48;100%;d3fd31cc;2017-2018;1959476;1643077;1996702;101892731;85440000;103828499
Tottenham;34;100%;361ca564;2017-2018;1841549;1544192;1876535;95760561;80298000;97579832
West Ham;41;100%;7c21e445;2017-2018;1594665;1337173;1624961;82922601;69533000;84497976
Southampton;29;100%;33c895d4;2017-2018;1561182;1309096;1590841;81181461;68073000;82723752
Crystal Palace;41;100%;47c64c55;2017-2018;1560448;1308481;1590094;81143294;68041000;82684869
Leicester City;34;100%;a2d435b3;2017-2018;1470226;1232827;1498157;76451744;64107000;77904185
West Brom;33;100%;60c6b05f;2017-2018;1354341;1135654;1380071;70425716;59054000;71763674
Stoke City;35;100%;17892952;2017-2018;1124956;943308;1146328;58497686;49052000;59609032
Swansea City;36;100%;fb10988f;2017-2018;1095623;918712;1116438;56972393;47773000;58054764
Watford;37;100%;2abfe087;2017-2018;1065878;893769;1086127;55425638;46476000;56478625
Bournemouth;35;100%;4ba7cbea;2017-2018;987558;828096;1006320;51353032;43061000;52328645
Newcastle Utd;37;100%;b2b47a98;2017-2018;968248;811904;986643;50348890;42219000;51305427
Brighton;39;100%;d07537b9;2017-2018;915271;767481;932659;47594066;39909000;48498265
Burnley;30;100%;943e8050;2017-2018;746660;626096;760845;38826329;32557000;39563962
Huddersfield;35;100%;f5922ca5;2017-2018;587269;492442;598426;30538003;25607000;31118172
Chelsea;102;100%;cff3d9bb;2018-2019;3612255;3028981;3680882;187837283;157507000;191405844
Manchester Utd;86;100%;19538871;2018-2019;3470478;2910096;3536411;180464856;151325000;183893347
Manchester City;96;100%;b8fd03ef;2018-2019;3454103;2896365;3519725;179613362;150611000;183025676
Arsenal;91;100%;18bb7c10;2018-2019;3104338;2603077;3163314;161425557;135360000;164492342
Liverpool;88;100%;822bd0ba;2018-2019;2923160;2451154;2978694;152004295;127460000;154892092
Tottenham;83;100%;361ca564;2018-2019;2091713;1753962;2131451;108769056;91206000;110835465
Everton;90;100%;d3fd31cc;2018-2019;1965599;1648212;2002942;102211141;85707000;104152963
West Ham;90;100%;7c21e445;2018-2019;1898815;1592212;1934889;98738397;82795000;100614239
Leicester City;88;100%;a2d435b3;2018-2019;1832422;1536538;1867234;95285918;79900000;97096177
Crystal Palace;86;100%;47c64c55;2018-2019;1713188;1436558;1745735;89085775;74701000;90778244
Southampton;86;100%;33c895d4;2018-2019;1663043;1394510;1694638;86478237;72514500;88121158
Bournemouth;79;100%;4ba7cbea;2018-2019;1208389;1013269;1231346;62836237;52690000;64030011
Fulham;82;100%;fd962109;2018-2019;1167773;979212;1189959;60724203;50919000;61877851
Newcastle Utd;87;100%;b2b47a98;2018-2019;1143142;958558;1164860;59443389;49845000;60572706
Watford;93;100%;2abfe087;2018-2019;1132891;949962;1154414;58910310;49398000;60029502
Burnley;83;100%;943e8050;2018-2019;1015125;851212;1034410;52786491;44263000;53789342
Brighton;86;100%;d07537b9;2018-2019;982054;823481;1000711;51066812;42821000;52036991
Wolves;85;100%;8cec06e1;2018-2019;852844;715135;869047;44347902;37187000;45190433
Huddersfield;86;100%;f5922ca5;2018-2019;805325;675288;820625;41876908;35115000;42672499
Cardiff City;92;100%;75fae011;2018-2019;756591;634423;770964;39342710;32990000;40090150
Manchester Utd;78;33%;19538871;2019-2020;3794190;3181538;3866273;197297905;165440000;201046193
Manchester City;71;31%;b8fd03ef;2019-2020;3416927;2865192;3481842;177680216;148990000;181055805
Chelsea;79;35%;cff3d9bb;2019-2020;2744046;2300962;2796177;142690368;119650000;145401216
Arsenal;78;32%;18bb7c10;2019-2020;2718589;2279615;2770237;141366618;118540000;144052322
Liverpool;70;31%;822bd0ba;2019-2020;2634421;2209038;2684470;136989906;114870000;139592457
Tottenham;76;34%;361ca564;2019-2020;2467233;2068846;2514106;128296109;107580000;130733496
